expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=177541,08/11/2023 18:40,NW Austin,TX,USA,Cylinder,"On AA Flt 4244 ATX-ABQ, saw cylindrical object flying past my plane same level going opposite direction fast! No tail fin, wings.",08/13/2023,Y,
https://nuforc.org/sighting/?id=177447,08/10/2023 01:30,Hanksville,UT,USA,Other,We were driving up thru Aurora UT on State Route 24 when I noticed a round orange ball of light bouncing above the tops of the trees.,08/12/2023,,
https://nuforc.org/sighting/?id=177517,08/09/2023 23:56,Whiteland,IN,USA,Triangle,A large triangle with many lights flew close overhead as I was getting into my truck,08/09/2023,,
https://nuforc.org/sighting/?id=177539,08/09/2023 04:04,Dorotea,Västerbotten County,Sweden,Oval,We saw a ufo dart through the sky many times in about 15 minutes,08/13/2023,Y,
https://nuforc.org/sighting/?id=177427,08/08/2023 23:15,Abergele,Conwy County Borough,United Kingdom,Triangle,Three triangles in formation moving fast and silent.,08/08/2023,,
https://nuforc.org/sighting/?id=183641,08/08/2023 22:00,Elgin,TX,USA,Sphere,"20 or more blueish white orbs in groups of 4 ascended straight up into the sky,",10/21/2024,,
https://nuforc.org/sighting/?id=180618,08/08/2023 21:30,Brooklet,GA,USA,Triangle,Unknown craft hovered at treetop level above myself & a friend,02/28/2024,,
https://nuforc.org/sighting/?id=177531,08/08/2023 02:00,Bizerte,Tunis Governorate,Tunisia,Light,Multiple lights (6 seen) fading on and off (10s) forming multiple formations moving in all directions (not orbital) in stratosphere,08/14/2023,,
https://nuforc.org/sighting/?id=177409,08/07/2023 21:23,Upland,CA,USA,Formation,"Looking west an enormous, segmented, well lit green craft, flying low, centipede like, appeared bit by bit. Disappeared the same.",08/07/2023,,
https://nuforc.org/sighting/?id=177417,08/07/2023 18:00,Glace Bay,NS,Canada,Orb,"Came straight down , 10-12 foot in diameter, didn't make a sound , entered the water , no wind sound sound , no fuel smell",08/07/2023,,
https://nuforc.org/sighting/?id=177337,08/06/2023 21:15,Rocklin,CA,USA,Orb,Glowing orb followed by a flashing light and a dim orb off center of main orb.,08/06/2023,,
https://nuforc.org/sighting/?id=177471,08/06/2023 17:13,Madison,AL,USA,Rectangle,"40-50,000 ft heading 255-265 degrees for 4 minutes then sharp left turn to about 160 degrees",08/11/2023,,
https://nuforc.org/sighting/?id=177349,08/06/2023 12:21,Powhatan Point,OH,USA,Cylinder,Caught on security camera and phone.,08/06/2023,Y,
https://nuforc.org/sighting/?id=177618,08/05/2023 21:25,Auburndale,FL,USA,Orb,It was so bright as it got brighter it illuminated the neighborhood from a distance of over 3 football fields away.,08/06/2023,,
https://nuforc.org/sighting/?id=178648,08/04/2023 22:00,Stamford Texas,TX,USA,Oval,I seen a very large oval black craft emitting some sort of dark orange light around the upper rim of the craft,09/30/2023,,
https://nuforc.org/sighting/?id=177388,08/04/2023 21:40,Rocky River,OH,USA,Unknown,Saw object Friday night that would stop and go in different directions. Was flashing green and white and eventually flew away quickly.,08/04/2023,Y,
https://nuforc.org/sighting/?id=189088,08/03/2023 22:30,Hopkinton,MA,USA,Chevron,Large v shaped craft flying close to highway,04/21/2025,,
https://nuforc.org/sighting/?id=178746,08/03/2023 18:30,Mill Creek (Newport),NC,USA,Rectangle,I saw a large black rectangular object hovering in one spot for a few minutes and I saw it fly off into the woods.,10/07/2023,,
https://nuforc.org/sighting/?id=177621,08/02/2023 05:30,Palm Springs,FL,USA,Egg,"A bright white egg or circular object, about the size of a car, less than 1000 ft, shot across the sky, stopped, jumped to hyperspace",08/04/2023,,
https://nuforc.org/sighting/?id=180379,08/01/2023 16:00,,ID,USA,Disk,An extraordinary close encounter with a UFO in central Idaho in 1974.,02/12/2024,,
https://nuforc.org/sighting/?id=178053,07/31/2023 22:54,Mineral Bluff,GA,USA,Rectangle,Saw a square object with another one above it,09/04/2023,Y,
https://nuforc.org/sighting/?id=177426,07/30/2023 14:30,Millen,GA,USA,Sphere,Black sphere flying over Georgia,08/08/2023,,
https://nuforc.org/sighting/?id=177359,07/30/2023 09:30,Ann Arbor (Pittsfield),MI,USA,Orb,"Metallic orb, bowling ball or beach ball sized, and no visible props or motor, flying at approximately 35-40 mph",08/06/2023,,
